"InsilicoVA","n","freq"
"diarrhea",163,0.218
"hiv",28,0.037
"malaria",148,0.198
"other",69,0.092
"other_infections",175,0.234
"pneumonia",132,0.176
"severe_malnutrition",34,0.045
