"InsilicoVA","n","freq"
"diarrhea",27,0.223
"hiv",3,0.025
"malaria",24,0.198
"other",15,0.124
"other_infections",26,0.215
"pneumonia",20,0.165
"severe_malnutrition",6,0.05
