"InsilicoVA","n","freq"
"diarrhea",136,0.217
"hiv",25,0.04
"malaria",124,0.197
"other",54,0.086
"other_infections",149,0.237
"pneumonia",112,0.178
"severe_malnutrition",28,0.045
