"InsilicoVA","n","freq"
"Cancer",55,0.063
"HIV",266,0.304
"Injury",128,0.146
"Maternal",99,0.113
"Other",110,0.126
"Other infections",188,0.215
"Other transport accident",1,0.001
"Tuberculosis",28,0.032
