"InsilicoVA","n","freq"
"diarrhea",40,0.226
"hiv",4,0.023
"malaria",34,0.192
"other",21,0.119
"other_infections",44,0.249
"pneumonia",27,0.153
"severe_malnutrition",7,0.04
