"InsilicoVA","n","freq"
"diarrhea",139,0.215
"hiv",26,0.04
"malaria",132,0.204
"other",56,0.087
"other_infections",151,0.233
"pneumonia",114,0.176
"severe_malnutrition",29,0.045
