"InsilicoVA","n","freq"
"Cancer",54,0.06
"HIV",270,0.302
"Injury",129,0.144
"Maternal",101,0.113
"Other",115,0.129
"Other infections",193,0.216
"Other transport accident",1,0.001
"Tuberculosis",30,0.034
