"InsilicoVA","n","freq"
"Diarrhea",4,0.06
"HIV",2,0.03
"Injury",16,0.239
"Malaria",5,0.075
"Other",18,0.269
"Other infections",16,0.239
"Pneumonia",5,0.075
"Tuberculosis",1,0.015
